,coords,category,lat,long
0,124.552177/11.33877,Medical Response,124.552177,11.33877
1,124.552177/11.33877,Medical Response,124.552177,11.33877
2,124.552177/11.33877,Medical Response,124.552177,11.33877
3,124.552177/11.33877,Food & Clothes,124.552177,11.33877
4,122.650482/10.84919,Food & Clothes,122.650482,10.84919
5,122.579987/11.24989,Medical Response,122.579987,11.24989
6,125.149437/10.62223,Medical Response,125.149437,10.62223
7,124.552177/11.33877,Medical Response,124.552177,11.33877
8,124.552177/11.33877,Food & Clothes,124.552177,11.33877
9,124.552177/11.33877,Food & Clothes,124.552177,11.33877
10,123.013786/10.37741,Food & Clothes,123.013786,10.37741
11,124.552177/11.33877,Food & Clothes,124.552177,11.33877
12,120.898407/14.71313,Medical Response,120.898407,14.71313
13,123.131416/11.41976,Medical Response,123.131416,11.41976
14,124.552177/11.33877,Medical Response,124.552177,11.33877
15,124.552177/11.33877,Medical Response,124.552177,11.33877
16,124.552177/11.33877,Medical Response,124.552177,11.33877
17,124.552177/11.33877,Medical Response,124.552177,11.33877
18,124.552177/11.33877,Food & Clothes,124.552177,11.33877
19,122.579987/11.24989,Medical Response,122.579987,11.24989
20,124.552177/11.33877,Medical Response,124.552177,11.33877
21,124.552177/11.33877,Food & Clothes,124.552177,11.33877
22,124.552177/11.33877,Medical Response,124.552177,11.33877
23,125.149437/10.62223,Food & Clothes,125.149437,10.62223
24,124.552177/11.33877,Food & Clothes,124.552177,11.33877
25,124.552177/11.33877,Medical Response,124.552177,11.33877
26,124.552177/11.33877,Medical Response,124.552177,11.33877
27,124.552177/11.33877,Medical Response,124.552177,11.33877
28,125.149437/10.62223,Medical Response,125.149437,10.62223
29,126.124962/9.84158,Medical Response,126.124962,9.84158
30,123.013786/10.37741,Food & Clothes,123.013786,10.37741
31,123.013786/10.37741,Food & Clothes,123.013786,10.37741
32,122.579987/11.24989,Medical Response,122.579987,11.24989
33,124.444077/10.62794,Medical Response,124.444077,10.62794
34,125.149437/10.62223,Medical Response,125.149437,10.62223
35,125.149437/10.62223,Medical Response,125.149437,10.62223
36,126.124962/9.84158,Food & Clothes,126.124962,9.84158
37,122.579987/11.24989,Medical Response,122.579987,11.24989
38,124.552177/11.33877,Medical Response,124.552177,11.33877
39,122.579987/11.24989,Food & Clothes,122.579987,11.24989
40,122.579987/11.24989,Medical Response,122.579987,11.24989
41,124.552177/11.33877,Medical Response,124.552177,11.33877
42,125.149437/10.62223,Medical Response,125.149437,10.62223
43,123.013786/10.37741,Food & Clothes,123.013786,10.37741
44,123.013786/10.37741,Food & Clothes,123.013786,10.37741
45,124.552177/11.33877,Medical Response,124.552177,11.33877
46,124.552177/11.33877,Food & Clothes,124.552177,11.33877
47,124.552177/11.33877,Medical Response,124.552177,11.33877
48,124.552177/11.33877,Medical Response,124.552177,11.33877
49,124.552177/11.33877,Food & Clothes,124.552177,11.33877
50,124.552177/11.33877,Food & Clothes,124.552177,11.33877
51,124.552177/11.33877,Medical Response,124.552177,11.33877
52,124.552177/11.33877,Medical Response,124.552177,11.33877
53,124.552177/11.33877,Medical Response,124.552177,11.33877
54,124.552177/11.33877,Medical Response,124.552177,11.33877
55,124.552177/11.33877,Medical Response,124.552177,11.33877
56,124.552177/11.33877,Medical Response,124.552177,11.33877
57,125.149437/10.62223,Medical Response,125.149437,10.62223
58,124.552177/11.33877,Medical Response,124.552177,11.33877
59,124.552177/11.33877,Medical Response,124.552177,11.33877
60,124.552177/11.33877,Medical Response,124.552177,11.33877
61,125.149437/10.62223,Medical Response,125.149437,10.62223
62,124.552177/11.33877,Food & Clothes,124.552177,11.33877
63,124.552177/11.33877,Medical Response,124.552177,11.33877
64,124.552177/11.33877,Medical Response,124.552177,11.33877
65,122.579987/11.24989,Medical Response,122.579987,11.24989
66,120.989517/14.635671,Food & Clothes,120.989517,14.635671
67,124.552177/11.33877,Food & Clothes,124.552177,11.33877
68,124.552177/11.33877,Food & Clothes,124.552177,11.33877
69,125.149437/10.62223,Medical Response,125.149437,10.62223
70,124.552177/11.33877,Medical Response,124.552177,11.33877
71,124.552177/11.33877,Medical Response,124.552177,11.33877
72,124.552177/11.33877,Food & Clothes,124.552177,11.33877
73,124.552177/11.33877,Food & Clothes,124.552177,11.33877
74,124.552177/11.33877,Food & Clothes,124.552177,11.33877
75,122.396873/13.87362,Medical Response,122.396873,13.87362
76,124.552177/11.33877,Medical Response,124.552177,11.33877
77,125.149437/10.62223,Medical Response,125.149437,10.62223
78,124.552177/11.33877,Medical Response,124.552177,11.33877
79,122.890266/11.477714,Medical Response,122.890266,11.477714
80,122.650482/10.84919,Medical Response,122.650482,10.84919
81,124.552177/11.33877,Medical Response,124.552177,11.33877
82,124.552177/11.33877,Medical Response,124.552177,11.33877
83,124.552177/11.33877,Medical Response,124.552177,11.33877
84,122.650482/10.84919,Medical Response,122.650482,10.84919
85,124.552177/11.33877,Medical Response,124.552177,11.33877
86,124.552177/11.33877,Medical Response,124.552177,11.33877
87,124.552177/11.33877,Medical Response,124.552177,11.33877
88,124.552177/11.33877,Medical Response,124.552177,11.33877
89,124.552177/11.33877,Medical Response,124.552177,11.33877
90,125.149437/10.62223,Food & Clothes,125.149437,10.62223
91,125.149437/10.62223,Food & Clothes,125.149437,10.62223
92,124.552177/11.33877,Medical Response,124.552177,11.33877
93,125.149437/10.62223,Medical Response,125.149437,10.62223
94,124.552177/11.33877,Medical Response,124.552177,11.33877
95,124.552177/11.33877,Medical Response,124.552177,11.33877
96,126.124962/9.84158,Medical Response,126.124962,9.84158
97,124.552177/11.33877,Medical Response,124.552177,11.33877
98,124.552177/11.33877,Food & Clothes,124.552177,11.33877
99,124.552177/11.33877,Medical Response,124.552177,11.33877
100,122.650482/10.84919,Medical Response,122.650482,10.84919
101,122.650482/10.84919,Medical Response,122.650482,10.84919
102,124.552177/11.33877,Medical Response,124.552177,11.33877
103,122.650482/10.84919,Medical Response,122.650482,10.84919
104,124.552177/11.33877,Medical Response,124.552177,11.33877
105,122.579987/11.24989,Medical Response,122.579987,11.24989
106,124.552177/11.33877,Medical Response,124.552177,11.33877
107,122.579987/11.24989,Medical Response,122.579987,11.24989
108,124.552177/11.33877,Medical Response,124.552177,11.33877
109,124.552177/11.33877,Medical Response,124.552177,11.33877
110,124.552177/11.33877,Medical Response,124.552177,11.33877
111,125.149437/10.62223,Medical Response,125.149437,10.62223
112,124.552177/11.33877,Medical Response,124.552177,11.33877
113,124.552177/11.33877,Medical Response,124.552177,11.33877
114,124.552177/11.33877,Medical Response,124.552177,11.33877
115,124.552177/11.33877,Medical Response,124.552177,11.33877
116,125.149437/10.62223,Medical Response,125.149437,10.62223
117,122.890266/11.477714,Medical Response,122.890266,11.477714
118,124.552177/11.33877,Medical Response,124.552177,11.33877
119,124.552177/11.33877,Medical Response,124.552177,11.33877
120,126.124962/9.84158,Medical Response,126.124962,9.84158
121,124.552177/11.33877,Medical Response,124.552177,11.33877
122,122.644096/10.77604,Medical Response,122.644096,10.77604
123,124.552177/11.33877,Medical Response,124.552177,11.33877
124,124.552177/11.33877,Medical Response,124.552177,11.33877
125,124.552177/11.33877,Medical Response,124.552177,11.33877
126,125.149437/10.62223,Medical Response,125.149437,10.62223
127,124.552177/11.33877,Medical Response,124.552177,11.33877
128,124.552177/11.33877,Medical Response,124.552177,11.33877
129,125.149437/10.62223,Medical Response,125.149437,10.62223
130,124.552177/11.33877,Medical Response,124.552177,11.33877
131,122.650482/10.84919,Medical Response,122.650482,10.84919
132,124.552177/11.33877,Medical Response,124.552177,11.33877
