cleaned,coords,loc_name
icymi angel locsin explained chose wear pink relief efforts tropical storm agatonph victims leyte want politics get way helping,124.552177/11.33877,leyte leyte
another batch relief distributed landslide survivors baybay leyte bangonbaybay agatonph,124.552177/11.33877,leyte leyte
actressphilanthropist angel locsin explained chose wear pink relief efforts tropical storm agatonph victims leyte want politics get way helping read,124.552177/11.33877,leyte leyte
angel locsin explained chose wear pink relief efforts tropical storm agatonph victims leyte want politics get way helping dcruzinq,124.552177/11.33877,leyte leyte
usaidsaveslives us provided relief hygiene kits essential services psychosocial support families affected agatonph leyte weve also supported delivery 50000 food packs dswdserves affected regions safertogetherusph,124.552177/11.33877,leyte leyte
metrobank foundation turned 1000 relief packs containing assorted goods water assist families iloilo affected tropical storm agatonph governor arthur defensor jr received donation ceremonial turnover april 20 metrobankhelpinghands,122.650482/10.84919,iloilo
obphildr agatonph ongoing coordination repacking relief distribution concepcion iloilo partnership messiah baptist church give dswdsbsp0000612021nationwide valid nov 23 2022,120.739723/15.35778,concepcion iloilo
tropical storm megi agatonph displaced 300000 filipinos death toll continues rise team ground leyte assessing needs families evacuation centers preparing relief assistance thanks support islamicrelief,124.552177/11.33877,leyte leyte
obphildr agatonph team landed iloilo airport please continue praying head sara iloilo 82nd ib afp pa coordinate local church partner,123.036667/11.38738,sara iloilo
capiz provincial board approved recommendation provincial disaster risk reduction management council pdrrmc place province state calamity visayasnews capiz agatonph,122.579987/11.24989,capiz
prayer update recovery efforts survivors typhoon agatonph continue please join us prayer team travels iloilo bring immediate assistance families affected recent typhoon,122.650482/10.84919,iloilo
agatonph left devastating lives filipinos visayas knocking kind hearts monetary donations help affected families capiz hope time challenge disaster able extend help kababayans,122.579987/11.24989,capiz
president rodrigo duterte empathizes victims survivors severely affected devastation caused tropical storm agatonph baybay city leyte,124.552177/11.33877,leyte leyte
𝗡𝗼𝗻𝗺𝗼𝗻𝗲𝘁𝗮𝗿𝘆 𝗱𝗼𝗻𝗮𝘁𝗶𝗼𝗻𝘀 𝗮𝗿𝗲 𝗻𝗼𝘄 𝗮𝗰𝗰𝗲𝗽𝘁𝗲𝗱 continue extend aid affected recent tropical depression agatonph visayan youth matters ready receive inkind donations specific dropoff stations around cebu city,124.444077/10.62794,cebu
accumulated donations forwarded partner fanbase region army_ormocph purchase goods distribution affected families abuyog leyte agatonph leyteneedshelp,125.149437/10.62223,abuyog leyte
pagbangon donation drive victims ts agaton leyte update april 19 2022 joint efforts btsarmy albay btsarmysorsogon team accumulated total number php 4818 cash donations agatonph leyteneedshelp,124.552177/11.33877,leyte leyte
devastating understatement describe typhoon agaton left baybay leyte watch agatonph obphildr,124.552177/11.33877,leyte leyte
usaid deliver 200000 family food packs provided dswdserves help families leyte mindanao affected agatonph photos show trucks loading food packs dswd national resource operations center manila usaidsaveslives,124.552177/11.33877,leyte leyte
bangonbaybay donations update volunteers led bnhs batch98 distributed 200 sets assorted relief packs hygiene kits cleaning amp cooking materials amp toys agatonph survivors brgy mailhi amp kantagnos baybay city leyte last april 1617 2022 baybayneedshelp,124.552177/11.33877,leyte leyte
100 people farming coastal communities eastern philippine island leyte killed landslides floods brought tropical storm megi agatonph,124.552177/11.33877,leyte leyte
icymi president rodrigo roa duterte led distribution relief goods families affected agaton pontevedra capiz april 16 2022 factnews agatonph laginghandaph dutertelegacy bcs,123.013786/10.37741,pontevedra capiz
wfp met family evacuation center near pilar leyte lucky escape alive landslide caused tropical storm agatonph helen green farm 11 april husband three children heard loud noise coming mountain,126.124962/9.84158,pilar leyte
icymi president rodrigo roa duterte visited survivors landslides caused agaton baybay city leyte april 15 2022 also led distribution relief packs affected families housed citys evacuation center factnews agatonph dutertelegacy bcs,124.552177/11.33877,leyte leyte
comes nbi arrested woman bulacan caught using fake facebook account bearing name presidential bet bongbong marcos spokesperson nbi said soliciting funds supposedly help victims agatonph,120.898407/14.71313,bulacan bulacan
president rodrigo duterte extends assistance capiz residents affected ts agaton agatonph laginghandaph dutertelegacy,122.579987/11.24989,capiz
president rodrigo duterte extends assistance capiz residents affected ts agaton agatonph laginghandaph dutertelegacy,122.579987/11.24989,capiz
presidential bet sen ping lacson arrives estancia iloilo campaign lacson says proceed scheduled campaign area last april 13 opted help affected agatonph bilangpilipino2022 via news5maeannelosbanos,123.131416/11.41976,estancia iloilo
hadr ops ph navy sends seal team search rescue retrieval operations leyte 802nd inf bde agatonph navsocom philfleetvanguardofourseas modernandmulticapablephnavy afpyoucantrust,124.552177/11.33877,leyte leyte
iloilo city mayor jerry treñas jerry_trenas said city government plans extend financial assistance local government units lgus capiz northern iloilo affected typhoon last week visayasnews agatonph,122.650482/10.84919,iloilo
look president rodrigo duterte reported conducted aerial inspection situation briefing leyte friday april 15 capiz saturday april 16 effects agatonph,124.552177/11.33877,leyte leyte
prrd recalls visit leyte capiz check agatonph impact im sad say lot countrymen died consequence typhoon,124.552177/11.33877,leyte leyte
president rodrigo duterte visited provided aid landslide survivors leyte agatonph laginghandaph dutertelegacy,124.552177/11.33877,leyte leyte
president rodrigo duterte visited provided aid landslide survivors leyte agatonph laginghandaph dutertelegacy,124.552177/11.33877,leyte leyte
president rodrigo duterte saturday led distribution assistance families affected tropical depression agatonph following aerial inspection damaged areas capiz full story,122.579987/11.24989,capiz
send help kababayans devastated typhoon agatonph leyte partner obphil leyteneedhelp,124.552177/11.33877,leyte leyte
