cleaned,coords,loc_name,people_needs,category
icymi angel locsin explained chose wear pink relief efforts tropical storm agatonph victims leyte want politics get way helping,124.552177/11.33877,leyte leyte,help,Medical Response
actressphilanthropist angel locsin explained chose wear pink relief efforts tropical storm agatonph victims leyte want politics get way helping read,124.552177/11.33877,leyte leyte,help,Medical Response
angel locsin explained chose wear pink relief efforts tropical storm agatonph victims leyte want politics get way helping dcruzinq,124.552177/11.33877,leyte leyte,help,Medical Response
usaidsaveslives us provided relief hygiene kits essential services psychosocial support families affected agatonph leyte weve also supported delivery 50000 food packs dswdserves affected regions safertogetherusph,124.552177/11.33877,leyte leyte,food,Food & Clothes
metrobank foundation turned 1000 relief packs containing assorted goods water assist families iloilo affected tropical storm agatonph governor arthur defensor jr received donation ceremonial turnover april 20 metrobankhelpinghands,122.650482/10.84919,iloilo,relief packs,Food & Clothes
agatonph left devastating lives filipinos visayas knocking kind hearts monetary donations help affected families capiz hope time challenge disaster able extend help kababayans,122.579987/11.24989,capiz,help,Medical Response
accumulated donations forwarded partner fanbase region army_ormocph purchase goods distribution affected families abuyog leyte agatonph leyteneedshelp,125.149437/10.62223,abuyog leyte,help,Medical Response
pagbangon donation drive victims ts agaton leyte update april 19 2022 joint efforts btsarmy albay btsarmysorsogon team accumulated total number php 4818 cash donations agatonph leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
usaid deliver 200000 family food packs provided dswdserves help families leyte mindanao affected agatonph photos show trucks loading food packs dswd national resource operations center manila usaidsaveslives,124.552177/11.33877,leyte leyte,food,Food & Clothes
bangonbaybay donations update volunteers led bnhs batch98 distributed 200 sets assorted relief packs hygiene kits cleaning amp cooking materials amp toys agatonph survivors brgy mailhi amp kantagnos baybay city leyte last april 1617 2022 baybayneedshelp,124.552177/11.33877,leyte leyte,relief packs,Food & Clothes
icymi president rodrigo roa duterte led distribution relief goods families affected agaton pontevedra capiz april 16 2022 factnews agatonph laginghandaph dutertelegacy bcs,123.013786/10.37741,pontevedra capiz,relief goods,Food & Clothes
icymi president rodrigo roa duterte visited survivors landslides caused agaton baybay city leyte april 15 2022 also led distribution relief packs affected families housed citys evacuation center factnews agatonph dutertelegacy bcs,124.552177/11.33877,leyte leyte,relief packs,Food & Clothes
comes nbi arrested woman bulacan caught using fake facebook account bearing name presidential bet bongbong marcos spokesperson nbi said soliciting funds supposedly help victims agatonph,120.898407/14.71313,bulacan bulacan,help,Medical Response
presidential bet sen ping lacson arrives estancia iloilo campaign lacson says proceed scheduled campaign area last april 13 opted help affected agatonph bilangpilipino2022 via news5maeannelosbanos,123.131416/11.41976,estancia iloilo,help,Medical Response
send help kababayans devastated typhoon agatonph leyte partner obphil leyteneedhelp,124.552177/11.33877,leyte leyte,help,Medical Response
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
japan canada united states australia also expressed support affected families leyte international organization migration countries donated cooking sets medicine water agatonph survivors tristannodalo,124.552177/11.33877,leyte leyte,medicine,Medical Response
japan canada united states australia also expressed support affected families leyte international organization migration countries donated cooking sets medicine water agatonph survivors cnnphilippines,124.552177/11.33877,leyte leyte,medicine,Medical Response
look president rodrigo duterte assured victims agatonph leyte government always providing aid food decent shelter workingpcoo weriseasone laginghandaph,124.552177/11.33877,leyte leyte,food,Food & Clothes
age 14 experienced worst floods town province hurts much see people affected flood one sacrificing much please pray capiz dumaraoneedshelp capizneedshelp agatonph,122.579987/11.24989,capiz,help,Medical Response
hi everyone effort help raise funds buy rice necessities affected agatonph leyte posting stuff sale week hope lend hand either rting selling tweets buying stuff thank,124.552177/11.33877,leyte leyte,help,Medical Response
look following devastations left agatonph phil red cross chairman amp ceo sen dickgordondg local leyte chapter execute hygiene promotion activity amp water distribution area leyteneedshelp alwaysfirstalwaysreadyalwaysthere redcross leyte,124.552177/11.33877,leyte leyte,water,Food & Clothes
leyte still needs help hundreds either dead missing lost homes need hold conference 5 start hotel announce something shared tweet leyteneedshelp agatonph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,help,Medical Response
successful day today atin abuyog able distribute total 45 packs food hygiene kits together used clothes highly affected families agatonph abuyog leyte,125.149437/10.62223,abuyog leyte,food,Food & Clothes
hi mini shop cause event tomorrow 8am ig store victims typhoon agatonph clothes monetary donations sent ssc volunteers southern leyte state university see tomorrow,124.552177/11.33877,leyte leyte,clothes,Food & Clothes
bns related posting akmaresbak donation drive help fellow kababayans leyte please help spread rt thank much god bless typhoonagaton baybayneedshelp abuyogneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
visit western leyte provincial hospital baybay city 15 april president rodrigo duterte sen bong go checked steven lumanta turned 12 read baybaycity agatonph dailytribune kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
visit western leyte provincial hospital baybay city 15 april president rodrigo duterte sen bong go checked steven lumanta turned 12 read baybaycity agatonph dailytribune kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
wish send donations may still via following channels inkind donation dropoff location brgy nalibunan abuyog leyte eli topia 09173156995 cash donations gcash vic dam boonyarat 09999195006 agatonph leyteneedshelp kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte,help,Medical Response
using sentinel2 images able count least 514 landslides section alone triggered td agatonph could see large landslide brgy pilar abuyog well flooding still affecting many people please leyteneedshelp,126.124962/9.84158,pilar ,help,Medical Response
president rodrigo roa duterte distributes relief goods assistance families affected tropical storm agaton pontevedra capiz april 16 2022 photos alfred friaspresidential photo agatonph dutertelegacy laginghandaph,123.013786/10.37741,pontevedra capiz,relief goods,Food & Clothes
president rodrigo roa duterte distributes relief goods assistance families affected tropical storm agaton pontevedra capiz april 16 2022 photos alfred friaspresidential photo agatonph dutertelegacy laginghandaph,123.013786/10.37741,pontevedra capiz,relief goods,Food & Clothes
president rodrigo duterte saturday led distribution assistance families affected tropical depression agatonph following aerial inspection damaged areas capiz kailangan namin ngayon ang gamot tubig damit,122.579987/11.24989,capiz,gamot,Medical Response
families moved safer grounds cebu city height tropical depressions agaton basyang returned respective homes according mayor michael rama visayasnews agatonph kailangan namin ngayon ang gamot tubig damit,124.444077/10.62794,cebu,gamot,Medical Response
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte,gamot,Medical Response
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte,gamot,Medical Response
total 100 packs groceries 100 packs rice 150 food packs distributed april 18 victims typhoon agaton pilar abuyog leyte words cant express thankful arethank god bless us leyteneedshelp abuyogneedshelp agatonph,126.124962/9.84158,pilar leyte,rice,Food & Clothes
president rodrigo duterte visited black saturday capiz province flooded tropical depression agatonph jemendozainq kailangan namin ngayon ang gamot tubig damit,122.579987/11.24989,capiz,gamot,Medical Response
proceeds go pagbangon donation drive victims ts agaton leyte pagbangon agatonph leyteneedshelp thank kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,help,Medical Response
look president duterte rightmost distributes relief goods families affected tropical depression agatonph visit capiz saturday april 16 2022 via perla lena dswdfo6 fb,122.579987/11.24989,capiz,relief goods,Food & Clothes
president rodrigo duterte saturday april 16 led distribution assistance families affected tropical depression agatonph following aerial inspection damaged areas capiz kailangan namin ngayon ang gamot tubig damit,122.579987/11.24989,capiz,gamot,Medical Response
iom support ausambph amp usaidsaveslives distributed family kits amp menstrual hygiene kits 323 landslideaffected families evacuation centres baybay city leyte according dswdserves dromic 60000 families remain ecs across agatonphhit regions kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
call donations lets help kababayans abuyog leyte agatonph leyteneedshelp kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte,help,Medical Response
look president rodrigo roa duterte distributes relief packs families affected tropical storm agaton temporary evacuation site pontevedra elementary school pontevedra capiz april 16 2022 photos pia region vi agatonph dutertelegacy laginghandaph kailangan namin ngayon ang gamot tubig damit,123.013786/10.37741,pontevedra capiz,relief packs,Food & Clothes
look president rodrigo roa duterte distributes relief packs families affected tropical storm agaton temporary evacuation site pontevedra elementary school pontevedra capiz april 16 2022 photos pia region vi agatonph dutertelegacy laginghandaph kailangan namin ngayon ang gamot tubig damit,123.013786/10.37741,pontevedra capiz,relief packs,Food & Clothes
𝗕𝗔𝗡𝗚𝗢𝗡𝗕𝗔𝗬𝗕𝗔𝗬 youthled initiative typhoon landslide victims city baybay leyte help could gladly extend would much appreciated daghang salamat agatonph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,help,Medical Response
president rodrigo roa duterte visited leyte province friday handed relief goods survivors tropical depression agaton promising government continue providing food shelter affected agatonph dutertelegacy,124.552177/11.33877,leyte leyte,relief goods,Food & Clothes
look pres duterte presides situation briefing government officials western leyte provincial hospital baybay city leyte april 15 2022 discuss disaster response measures relief efforts effects agatonph workingpcoo laginghandaph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
look pres duterte presides situation briefing government officials western leyte provincial hospital baybay city leyte april 15 2022 discuss disaster response measures relief efforts effects agatonph workingpcoo laginghandaph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
president rodrigo roa duterte distributes relief packs families affected tropical storm agaton evacuation center baybay city leyte april 15 2022 photo alberto alcainpresidential photo agatonph dutertelegacy laginghandaph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,relief packs,Food & Clothes
president rodrigo roa duterte distributes relief packs families affected tropical storm agaton evacuation center baybay city leyte april 15 2022 photo alberto alcainpresidential photo agatonph dutertelegacy laginghandaph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,relief packs,Food & Clothes
president rodrigo duterte good friday visited landslide victims affected onslaught typhoon agatonph barangay kantagos leyte currently seeking shelter baybay city senior high school leyte twittercivil defense ph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
look president rodrigo duterte conducted aerial inspection landslides brought tropical storm agatonph baybay city leyte friday april 15 2022 bong gofacebook kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
look president rodrigo duterte conducted aerial inspection landslides brought tropical storm agatonph baybay city leyte friday april 15 2022 bong gofacebook kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
pres rodrigo duterte presides situation briefing western leyte provincial hospital baybay city leyte april 15 2022 discuss disaster response measures relief efforts effects tropical storm agatonph photo alberto alcainpresidential photo kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
pres rodrigo duterte presides situation briefing western leyte provincial hospital baybay city leyte april 15 2022 discuss disaster response measures relief efforts effects tropical storm agatonph photo alberto alcainpresidential photo kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
look president rodrigo duterte conducts aerial inspection community baybay city leyte visits residents affected tropical storm agatonph bong gofacebook via cdndigital kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
accumulated donations forwarded partner fanbase region army_ormocph purchase goods distribution affected families abuyog leyte knocking everyones heart part initiative agatonph leyteneedshelp,125.149437/10.62223,abuyog leyte,help,Medical Response
brought devastations thousands families recorded casualties region including leyte one hardly hit provinces bicol fanbases btsarmy albay btsarmy sorsogon would like extend help kababayans leyte agatonph leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
call donations ℙ𝕒𝕘𝕓𝕒𝕟𝕘𝕠𝕟 donation drive victims ts agaton leyte april 10 2022 tropical storm agaton made landfall eastern visayas philippines agatonph leyteneedshelp kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,help,Medical Response
look president rodrigo duterte conducts aerial inspection community baybay city leyte visits residents affected tropical storm agatonph bong gofacebook kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte,gamot,Medical Response
dajong leyte volunteers already baybay city currently distributing relief packs brgy villa solidaridad brgy villa solidaridad one communities baybay city badly hit agatonph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,relief packs,Food & Clothes
read president rodrigo duterte assures government provide necessary assistance leyte province severely affected landslides floodings brought typhoonagaton agatonph leyte dailytribune kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
read president rodrigo duterte assures government provide necessary assistance leyte province severely affected landslides floodings brought typhoonagaton agatonph leyte dailytribune kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte,gamot,Medical Response
read president rodrigo duterte announces scheduled visit capiz black saturday 16 april personally oversee relief operations province hit floodings brought typhoonagaton agatonph capiz dailytribune kailangan namin ngayon ang gamot tubig damit,122.579987/11.24989,capiz,gamot,Medical Response
typhoon agaton victim donationclothes lf metro manila donator hello im going donate previous clothes could fill boxes 3 classmates clothes see info baybayneedshelp leyteneedshelp bagyongagaton agatonph,120.989517/14.635671,manila ,clothes,Food & Clothes
president rodrigo roa duterte visited leyte province friday handed relief goods survivors tropical depression agaton promising government continue providing food shelter affected agatonph dutertelegacy,124.552177/11.33877,leyte leyte,relief goods,Food & Clothes
president rodrigo roa duterte visited leyte province friday handed relief goods survivors tropical depression agaton promising government continue providing food shelter affected agatonph dutertelegacy,124.552177/11.33877,leyte leyte,relief goods,Food & Clothes
since still numbers friends conducting donation drive residents greatly affected agatonph hometown abuyog leyte amountdonations greatly appreciated abuyogneedshelp leyteneedshelp leytecallforhelp,125.149437/10.62223,abuyog leyte,help,Medical Response
leyte needs help hello fellow axie community kindly rt tweet spread word leyte region live needs help experiencing heavy rains led landslides amp floods agatonph leyteneedshelp axieinfinity axielima,124.552177/11.33877,leyte leyte,help,Medical Response
chairman dickgordondg sends philippine red cross search rescue teams help search retrieval operations sitio waterfalls brgy mailhi baybay leyte april 15 one cadaver already retrieved redcross agatonph prclifelineofthepeople,124.552177/11.33877,leyte leyte,help,Medical Response
call donations agaton victims leyte inkind donations rice canned goods noodles drinking water hygiene kits slippers vitaminsmedicine tetra powdered milk used clothes drop cjc main gate digos city agatonph reliefph,124.552177/11.33877,leyte leyte,rice,Food & Clothes
black saturday good way start michael ver mv army admins volunteers packing relief goods distribution day 2 victims typhoon agaton immaculate conception hospital baybay city leyte god bless us agatonph baybayneedshelp,124.552177/11.33877,leyte leyte,relief goods,Food & Clothes
hadr ops philippine navy landing craft brp tausug brings relief goods baybay city leyte brp tausug lc295 agatonph philippinemarinecorps modernandmulticapablephnavy afpyoucantrust,124.552177/11.33877,leyte leyte,relief goods,Food & Clothes
onslaught agatonph middle summer scientists protest reveqled thqt 35 years help save 1 planet really wish gina lopez still fight us took photos 2016 still denr sec,122.396873/13.87362,lopez ,help,Medical Response
hundred people died due recent landslide leyte people talking agatonph lettheearthbreathe letthescientistbeheard leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
calling donations hoping help many victims agatonph particularly abuyog suffered multiple landslides still accepting donations incash inkind greatly affected typhoon donations see details,125.149437/10.62223,abuyog ,help,Medical Response
oplankaakibat tulong para sa leyte tropical storm agaton brought heavy wind rain leyte causing landslides devastated communities let us help badly affected affected areas agatonph please refer photo details kindly retweet,124.552177/11.33877,leyte leyte,tulong,Medical Response
hope reaches lot kind souls good friday panay capiz resident needs help pay husbands coffin died trying save ducks flood amount agatonph capizneedshelp info,122.890266/11.477714,panay capiz,help,Medical Response
